campaign_id,campaign_name,source,medium,spend,impressions,clicks,conversions,revenue,date
1,Summer_Sale,google,paid_search,421.92,5400,216,34,2998.0,2025-08-01
2,Autumn_Sale,facebook,paid_social,327.6,9100,273,38,3025.4,2025-08-02
3,Loyalty_Offer,email,email_marketing,137.16,4800,252,58,3168.8,2025-08-03
4,Back_to_School,google,paid_search,610.88,7600,304,46,4147.2,2025-08-04
5,Brand_Prospecting,instagram,paid_social,154.7,15800,221,20,1765.0,2025-08-05
6,Remarketing,facebook,paid_social,461.49,6900,331,52,4428.0,2025-08-06
1,Summer_Sale,google,paid_search,399.0,5600,210,33,2871.0,2025-08-07
2,Autumn_Sale,facebook,paid_social,401.24,9400,308,41,3324.5,2025-08-08
3,Loyalty_Offer,email,email_marketing,126.0,4500,225,55,4636.5,2025-08-09
4,Back_to_School,google,paid_search,688.16,8200,328,49,4558.8,2025-08-10
5,Brand_Prospecting,instagram,paid_social,182.25,16200,243,22,2208.8,2025-08-11
6,Remarketing,facebook,paid_social,525.7,7100,355,55,4752.5,2025-08-12
1,Summer_Sale,google,paid_search,438.24,5900,248,36,3207.6,2025-08-13
2,Autumn_Sale,facebook,paid_social,362.14,8700,278,37,2928.5,2025-08-14
3,Loyalty_Offer,email,email_marketing,141.0,4700,235,60,5220.0,2025-08-15
4,Back_to_School,google,paid_search,632.0,7900,316,50,4550.0,2025-08-16
5,Brand_Prospecting,instagram,paid_social,141.05,15500,217,18,1752.0,2025-08-17
6,Remarketing,facebook,paid_social,474.62,6800,326,50,4200.0,2025-08-18
1,Summer_Sale,google,paid_search,451.52,6100,244,37,3290.6,2025-08-19
2,Autumn_Sale,facebook,paid_social,381.7,9300,289,40,3336.0,2025-08-20
3,Loyalty_Offer,email,email_marketing,132.55,4600,241,57,5076.0,2025-08-21
4,Back_to_School,google,paid_search,661.5,8100,315,48,4416.0,2025-08-22
5,Brand_Prospecting,instagram,paid_social,133.12,14900,208,17,1468.0,2025-08-23
6,Remarketing,facebook,paid_social,513.72,7200,342,53,4628.5,2025-08-24
1,Summer_Sale,google,paid_search,420.08,5800,232,35,3115.0,2025-08-25
